GEOID,positive,total,zcta_cum_perc_pos,pop_size,housing_total,housing_rental,rent_pct,hhsize_average,hhsize_rented,hhsize_owned,race_total,race_hisp,race_nhBlack,hispanic_pct,nhblack_pct,age65_total,male_65over,female_65over,age65_over_pct,Med_house_income,foodstamp_pct,unemployed_pct,uninsured_pct,case_rate
11106,234,457,51.2,38875,17101,14219,83.14718437518273,2.26,2.22,2.42,17101,4036,1209,23.60095900824513,7.069762002222093,38875,1813,2937,12.218649517684888,63703,12.688323917137476,5.593791184653683,10.960609166788696,601.9292604501608
11109,29,80,36.25,3523,1975,1577,79.84810126582278,1.78,1.78,1.79,1975,153,89,7.746835443037975,4.506329113924051,3523,76,51,3.6048822026681804,148590,0,3.232887647176212,7.683097186190381,823.1620777746239
11201,285,700,40.71,51128,23325,13949,59.80278670953913,1.96,1.91,2.03,23325,2344,2860,10.04930332261522,12.261521972132904,51128,2480,3342,11.38710686903458,124996,7.7528770442156265,4.05271457535481,6.82135616129759,557.4245032076358
11203,642,1017,63.13,76174,26420,16533,62.5775927327782,2.81,2.57,3.23,26420,1487,23399,5.6283118849356555,88.5654806964421,76174,4272,6997,14.793761650957018,51277,16.868988869277043,5.243579975798862,11.659122484650204,842.8072570693413
11204,908,1456,62.36,78134,25449,17099,67.18928052182797,3.07,2.87,3.46,25449,2440,152,9.58780305709458,0.5972729773272034,78134,4087,5855,12.724294161312615,49785,25.770094487521717,5.001479054315426,13.386579288688646,1162.106125374357
11205,317,581,54.56,40366,14690,11708,79.70047651463581,2.57,2.59,2.53,14690,2801,5454,19.067392784206945,37.12729748127978,40366,1079,1811,7.15949066045682,56708,26.47600343684792,5.968006562756358,8.777686628383922,785.3143734826339
11206,536,945,56.72,81677,28025,25465,90.86529884032115,2.9,2.85,3.38,28025,11940,7598,42.60481712756467,27.11150758251561,81677,2510,4609,8.716040011263882,36404,38.805489337027254,6.411411411411412,11.552177177177176,656.2434957209497
11207,658,1087,60.53,93386,31118,23596,75.8274953403175,2.94,2.86,3.2,31118,9777,19783,31.419114338967802,63.57413715534418,93386,3312,5306,9.228363994603045,37243,34.37123947051745,6.557969766881305,10.789917702558451,704.6024029297753
11208,713,1100,64.82,94469,29211,21739,74.42059498134265,3.21,3.08,3.6,29211,11691,13620,40.022594228201704,46.62627092533634,94469,2895,4487,7.814203601181339,40733,28.765420589789002,4.493360605175157,9.429888639979222,754.744942785464
11209,419,848,49.41,68853,31065,20968,67.49718332528569,2.21,2.11,2.41,31065,3717,508,11.965234186383391,1.6352808627072268,68853,3949,6126,14.63262312462783,72314,11.048912857971805,4.49639868534533,9.731707885597073,608.542837639609
11210,663,1083,61.22,62008,20653,12229,59.21173679368614,3,2.67,3.47,20653,1633,12087,7.906841621071998,58.52418534837553,62008,2626,4089,10.829247838988518,65900,16.082094579422463,5.090034786167383,9.522713321055862,1069.2168752419043
11211,948,1490,63.62,90117,33489,28365,84.69945355191257,2.67,2.66,2.73,33489,8661,1204,25.86222341664427,3.5952103675833853,90117,2754,4413,7.952994440560604,71225,21.463030672354254,3.8764900959039164,8.66122912371904,1051.9657778221645
11212,584,920,63.48,84500,30201,25929,85.8547730207609,2.73,2.69,2.99,30201,4550,24707,15.065726300453628,81.80854938578193,84500,3035,5339,9.910059171597634,26239,43.98168754371463,10.434782608695652,13.569794050343251,691.1242603550296
11213,615,1002,61.38,63767,23142,19506,84.28830697433239,2.72,2.6,3.33,23142,2241,17237,9.683691988592171,74.48362285022903,63767,2527,4243,10.616776702683206,41710,30.199384664562274,6.247334754797442,12.669983416252073,964.4486960339987
11214,493,933,52.84,88630,32212,22329,69.31888737116603,2.72,2.6,3.01,32212,3292,315,10.219793865640133,0.9778964361107663,88630,5637,8167,15.574861784948663,54041,23.333228948110104,4.681533659965477,16.199675692640312,556.2450637481666
11215,265,619,42.81,63488,28077,18212,64.86447982334295,2.23,2.07,2.52,28077,3995,1459,14.228728140470848,5.196424119385974,63488,2344,3214,8.754410282258064,123583,4.983411908503579,3.4008046266029672,4.783756600452603,417.40171370967744
